,geo,country,period,gdp,inflation,unemployment,unemployment_log,w_avg_tariff,duty_free_import_usd,duty_free_import_usd_log,hh_market_concentration_index,hh_market_concentration_index_log,export_market_penetration_index,export_market_penetration_index_log,exp_perc_of_gdp,imp_perc_of_gdp,trade_bal_perc_of_gdp,fdi_in_perc_of_gdp,fdi_out_perc_of_gdp,workers_num,workers_num_log,f_workers_num,f_workers_num_log,population,population_log,world_trade_growth_percentage,country_trade_growth_percentage
0,AT,Austria,2003,0.94,1.3,4.758333333333333,1.559897466873964,2.33,13713894690.0,23.341675366764957,0.11,-2.2072749131897207,16.61,2.810004923625204,44.57041471914,41.8169676971425,2.753447021997495,2.3620452554039,2.61550575010824,3553200.0,15.083359163877684,348600.0,12.761680412068058,8100273.0,15.907408322778414,8.09,10.31
1,AT,Austria,2004,2.74,2.0,5.891666666666667,1.7735389231145269,2.14,15752247690.0,23.480248902512077,0.12,-2.120263536200091,17.28,2.8495497633759097,46.8672149740213,43.9251307189084,2.9420842551129027,1.05608551598748,2.66369151009766,3427300.0,15.047283337147888,256200.0,12.45371366844477,8142573.0,15.912616781397832,10.4,10.9
2,AT,Austria,2005,2.24,2.1,6.033333333333334,1.7972996496036704,2.54,17829274490.0,23.60410757758416,0.12,-2.120263536200091,17.1,2.8390784635086144,48.6197522046932,45.4140534786122,3.205698726080996,25.6558278307872,25.7169931494487,3543900.0,15.08073837360472,342800.0,12.744902465705762,8201359.0,15.919810430209816,6.13,3.12
3,AT,Austria,2006,3.45,1.7,5.641666666666667,1.730179530130229,2.37,21316234120.0,23.78273478461956,0.12,-2.120263536200091,17.84,2.8814431271518632,50.8416688618235,47.2466423435202,3.5950265183033,3.1225333500469,4.78406240220846,3607600.0,15.09855328927369,346900.0,12.75679183295784,8254298.0,15.926244592350235,7.64,8.41
4,AT,Austria,2007,3.73,2.2,5.216666666666667,1.6518586283180523,2.26,25755887650.0,23.971929084522447,0.11,-2.2072749131897207,18.44,2.914522218128448,52.560869422371,48.172384639555,4.3884847828160005,17.6948460131618,20.3090536202671,3676200.0,15.1173901679418,370900.0,12.823687763477682,8282984.0,15.929713847911264,7.58,10.08
5,AT,Austria,2008,1.46,3.2,4.441666666666666,1.4910296813837984,1.73,33717584350.0,24.24128532902043,0.11,-2.2072749131897207,18.67,2.9269179575536315,53.2488606164087,48.8248221152974,4.424038501111298,1.45842274091571,6.45825690041785,3737000.0,15.13379370846762,385700.0,12.862815144196318,8307989.0,15.932728139952228,7.43,3.65
6,AT,Austria,2009,-3.76,0.4,5.666666666666667,1.7346010553881064,1.75,27476589380.0,24.03660018378861,0.11,-2.2072749131897207,18.05,2.89314568477889,45.2074165608437,41.8548144134358,3.3526021474079,3.55936613543504,3.87251675390701,3723800.0,15.130255210244089,381000.0,12.85055465410884,8335003.0,15.93597443409498,-12.19,-11.79
7,AT,Austria,2010,1.84,1.7,5.191666666666666,1.647054776005407,1.99,28807206330.0,24.083891412580225,0.11,-2.2072749131897207,18.54,2.919930560137709,51.2621603273359,47.7576359096203,3.5045244177156007,-5.61017631479876,-3.65244304138458,3761900.0,15.140434706884289,406000.0,12.91410843858387,8351643.0,15.937968843938124,9.74,6.09
8,AT,Austria,2011,2.92,3.6,4.9,1.589235205116581,1.44,40914084750.0,24.434740211128933,0.11,-2.2072749131897207,18.54,2.919930560137709,53.9486708516394,51.154117778086,2.794553073553402,5.32423673714992,8.83636576331772,3802300.0,15.151116704756642,425000.0,12.959844447906551,8375164.0,15.94078121757323,9.25,8.62
9,AT,Austria,2012,0.68,2.6,5.191666666666666,1.647054776005407,1.36,40219004480.0,24.41760546911984,0.11,-2.2072749131897207,18.55,2.920469789053444,53.9736761965302,51.1785012313079,2.795174965222301,1.27469393348716,4.5051822282906,3835000.0,15.159679992783492,449300.0,13.015446095058252,8408121.0,15.944708582491511,-0.02,-3.51
10,AT,Austria,2013,0.03,2.1,5.7250000000000005,1.7448425494403037,1.45,39805103660.0,24.407260973679016,0.1,-2.302585092994045,18.9,2.9391619220655967,53.4412932967224,50.625120789651,2.8161725070714,0.104862185985247,2.56421001969791,3864500.0,15.167342865529063,469100.0,13.05857124431655,8451860.0,15.949897093454064,1.18,2.48
